JodiTarvin,0.58,0.4,0.2,0.24,0.62,0.43,0.34
Joe94131552,0.22,0.44,0.14,0.24,0.34,0.45,0.07
KarenMBlaisdell,0.32,0.22,0.1,0.23,0.32,0.25,0.22
Katascadero,0.41,0.32,0.2,0.28,0.24,0.3,0.33
KateMartushoff,0.38,0.49,0.49,0.47,0.3,0.41,0.29
KenSnps,0.44,0.56,0.27,0.32,0.58,0.46,0.37
Kerrie_kills,0.26,0.39,0.26,0.33,0.12,0.24,0.22
Kimbospivey,0.18,0.17,0.25,0.21,0.2,0.21,0.2
KimoMcd,0.33,0.34,0.41,0.39,0.35,0.37,0.19
KriensL,0.31,0.44,0.09,0.51,0.41,0.17,0.18
KuismaSami,0.25,0.24,0.15,0.17,0.39,0.13,0.16
LEinMOTION,0.49,0.47,0.32,0.35,0.38,0.23,0.26
LEngelhorn,0.34,0.23,0.26,0.36,0.4,0.36,0.36
LMDB05,0.3,0.44,0.23,0.24,0.28,0.63,0.22
LaVerneWright13,0.44,0.44,0.06,0.39,0.58,0.3,0.39
LadyPat18,0.31,0.38,0.31,0.27,0.44,0.37,0.16
Lady_Graces,0.4,0.38,0.14,0.29,0.28,0.22,0.05
Landorcan,0.28,0.3,0.17,0.33,0.23,0.3,0.16
LatPoliticalAve,0.34,0.38,0.23,0.29,0.27,0.21,0.42
Lg4Lg,0.51,0.43,0.42,0.51,0.39,0.22,0.67
LonPeaBer,0.25,0.28,0.25,0.24,0.27,0.38,0.12
Lordozz,0.3,0.42,0.08,0.46,0.32,0.27,0.12
LunaMoon137,0.28,0.33,0.32,0.26,0.19,0.56,0.14
Lwme07,0.3,0.35,0.18,0.45,0.24,0.16,0.19
LynnMoo36681123,0.44,0.37,0.26,0.36,0.47,0.57,0.25
MASOUDIREDBOOK,0.53,0.39,0.4,0.51,0.53,0.57,0.65
MLMBlonde,0.29,0.36,0.16,0.37,0.33,0.36,0.15
Manni_syd,0.42,0.4,0.31,0.35,0.36,0.38,0.35
Mapski3,0.39,0.43,0.59,0.63,0.35,0.48,0.44
MargieRap22,0.21,0.45,0.15,0.38,0.35,0.31,0.06
MariellaMadrid,0.39,0.27,0.16,0.27,0.17,0.31,0.27
Mark4124NH,0.22,0.39,0.33,0.19,0.22,0.33,0.35
Markallenjobe1,0.33,0.41,0.17,0.57,0.21,0.24,0.26
MaxFaulk1,0.37,0.28,0.23,0.27,0.37,0.43,0.23
MediaOmissions,0.28,0.29,0.06,0.43,0.48,0.32,0.07
MiTreasurHunter,0.43,0.58,0.42,0.2,0.59,0.27,0.19
MichellesLrgBev,0.24,0.43,0.05,0.38,0.17,0.3,0.33
MikeWolfe1240,0.41,0.57,0.48,0.44,0.2,0.38,0.33
Mitch_John573,0.5,0.44,0.5,0.49,0.44,0.51,0.48
MontesMontes170,0.51,0.62,0.77,0.42,0.52,0.44,0.58
MrsPerrin,0.13,0.25,0.18,0.21,0.19,0.33,0.02
MsSleuth1,0.26,0.34,0.2,0.38,0.19,0.23,0.15
MybestgirlHolly,0.33,0.48,0.41,0.48,0.34,0.3,0.37
NATIVEg8r,0.35,0.35,0.17,0.2,0.24,0.26,0.17
NFL_EaglesFans,0.74,0.9,0.43,0.6,0.57,0.71,0.8
NFeedsApp,0.56,0.86,0.66,0.85,0.793147134,0.69,0.45
NetworksManager,0.4,0.4,0.05,0.47,0.43,0.17,0.52
News__La,0.51,0.52,0.51,0.35,0.55,0.52,0.46
NoBlood4Hubris,0.4,0.22,0.46,0.3,0.57,0.36,0.11
NoLiesLizzy,0.29,0.28,0.19,0.37,0.19,0.21,0.19
NogaliSuzette,0.52,0.52,0.34,0.44,0.53,0.39,0.46
NorthrupRl2613,0.4,0.3,0.23,0.19,0.34,0.42,0.29
ONE11SIGNS,0.45,0.43,0.38,0.24,0.61,0.52,0.23
OlgaOlgamsmith,0.26,0.24,0.4,0.3,0.32,0.34,0.3
OmaChatter1234,0.58,0.48,0.33,0.43,0.67,0.22,0.35
OptioneerJM,0.66,0.75,0.55,0.5,0.45,0.67,0.45
PA4TRUMP2016,0.48,0.56,0.45,0.54,0.63,0.47,0.26
PGOrgeWalker,0.42,0.35,0.26,0.38,0.44,0.28,0.23
PabloLeslie,0.32,0.54,0.15,0.57,0.34,0.3,0.27
ParkHillsPam,0.18,0.22,0.13,0.12,0.19,0.07,0.01
PatriotinMO_USA,0.32,0.42,0.37,0.44,0.3,0.24,0.23
PeggyRuppe,0.5,0.52,0.16,0.48,0.66,0.23,0.23
PennyFinn1,0.27,0.37,0.25,0.35,0.24,0.33,0.37
PeterDoljanin1,0.29,0.22,0.29,0.38,0.38,0.23,0.21
PhyllisPaciullo,0.39,0.5,0.43,0.37,0.25,0.52,0.38
PlazaRudy,0.54,0.29,0.21,0.38,0.61,0.37,0.19
PoliticWorldONE,0.84,0.55,0.22,0.57,0.76,0.51,0.63
PoliticalShout,0.43,0.46,0.24,0.32,0.48,0.38,0.34
PositivelyJoan,0.32,0.41,0.31,0.45,0.25,0.23,0.36
RNRKentucky,0.45,0.43,0.31,0.29,0.46,0.255,0.26
Racheka1,0.41,0.27,0.21,0.33,0.58,0.48,0.1
RandyGibreal,0.51,0.6,0.32,0.2,0.5,0.31,0.07
RasalaDebra,0.18,0.44,0.22,0.31,0.3,0.27,0.22
RealAdamBomb78,0.33,0.26,0.16,0.56,0.25,0.34,0.2
Redjen40J,0.4,0.41,0.67,0.37,0.41,0.41,0.5
RitchieJodi,0.49,0.33,0.33,0.5,0.43,0.27,0.25
RobRoyer2,0.38,0.42,0.24,0.4,0.29,0.48,0.27
RobertW66071991,0.39,0.39,0.44,0.28,0.44,0.47,0.14
RobinH2222,0.25,0.33,0.28,0.25,0.49,0.24,0.05
Roland_speaks,0.24,0.39,0.24,0.35,0.25,0.26,0.27
RottenHillaryC,0.948333333,0.885,0.81,0.840246053,0.793147134,0.94,0.99
RussellIngram6,0.29,0.36,0.23,0.39,0.24,0.3,0.12
Rwc356,0.45,0.36,0.13,0.46,0.47,0.46,0.19
SPIVEYI612,0.23,0.21,0.13,0.23,0.32,0.39,0.24
SaraGarciaOchoa,0.18,0.35,0.09,0.24,0.29,0.27,0.08
Sassafras_Knob,0.38,0.4,0.2,0.37,0.21,0.33,0.52
SdpbarberDinger,0.27,0.29,0.27,0.29,0.37,0.42,0.14
SherriWilkie,0.24,0.35,0.16,0.23,0.17,0.3,0.17
SierraDante,0.54,0.41,0.27,0.22,0.56,0.43,0.41
SileER,0.38,0.29,0.2,0.24,0.37,0.14,0.09
SimsMama11,0.25,0.16,0.04,0.51,0.3,0.2,0.06
Sinatra1fan,0.28,0.33,0.14,0.14,0.21,0.16,0.2
SiskaMnoleh,0.41,0.75,0.53,0.652931217,0.593733163,0.74,0.5
SpecialKMB1969,0.39,0.35,0.28,0.52,0.29,0.22,0.63
StealMartin,0.56,0.52,0.46,0.49,0.31,0.54,0.31
Steve_Gringo,0.48,0.41,0.33,0.47,0.41,0.38,0.52
SueSabo,0.55,0.42,0.23,0.42,0.62,0.44,0.24
SunaeThomas,0.4,0.26,0.3,0.24,0.54,0.31,0.2
SusanSharay,0.57,0.62,0.18,0.7,0.63,0.49,0.63
SwampBabe813,0.39,0.29,0.27,0.47,0.26,0.38,0.18
TParker1961,0.27,0.28,0.29,0.46,0.38,0.14,0.18
TeaPartySon,0.38,0.39,0.29,0.47,0.34,0.3,0.49
TeamTrumpAZ,0.43,0.47,0.44,0.58,0.54,0.31,0.62
TheDailyDish2,0.26,0.28,0.16,0.37,0.4,0.29,0.29
TheVeni1,0.22,0.19,0.18,0.46,0.33,0.42,0.22
TravelingUS,0.3,0.41,0.17,0.38,0.24,0.23,0.19
Trish061616,0.27,0.46,0.36,0.36,0.2,0.42,0.22
Trump2Win,0.32,0.25,0.06,0.32,0.29,0.19,0.23
TrumpMyPres,0.56,0.52,0.13,0.48,0.32,0.25,0.67
TylerC133,0.25,0.4,0.17,0.23,0.21,0.2,0.24
USAFMEDIC21,0.37,0.43,0.36,0.37,0.33,0.27,0.24
UnitedCitizen01,0.39,0.31,0.25,0.41,0.23,0.47,0.72
UserNameBlank24,0.4,0.45,0.31,0.39,0.34,0.49,0.36
VintageRosemary,0.4,0.31,0.19,0.5,0.62,0.34,0.1
Voiceof9jathugs,0.55,0.57,0.61,0.69,0.43,0.62,0.37
Waterbender1987,0.34,0.41,0.15,0.55,0.4,0.28,0.35
Wes_Bus,0.46,0.43,0.58,0.47,0.59,0.6,0.54
WhiiNot,0.35,0.3,0.12,0.35,0.37,0.33,0.21
Wiseronenow,0.24,0.15,0.06,0.28,0.26,0.31,0.04
WyattAmazing,0.37,0.47,0.18,0.48,0.36,0.4,0
Wyohawk,0.38,0.47,0.16,0.47,0.33,0.41,0.28
YoYoDietByBy,0.27,0.34,0.29,0.37,0.23,0.33,0.19
Yvonne2016MAGA,0.23,0.35,0.1,0.28,0.35,0.27,0.11
Zhuykovv,0.45,0.49,0.31,0.39,0.52,0.39,0.22
__Reenie__,0.33,0.35,0.12,0.44,0.4,0.35,0.28
abosife2010,0.27,0.31,0.62,0.35,0.32,0.52,0.28
adriel_reyes,0.17,0.37,0.26,0.11,0.21,0.38,0.04
agavecorn,0.3,0.34,0.12,0.57,0.22,0.23,0.19
ahithopel,0.3,0.44,0.2,0.59,0.17,0.31,0.12
alex_forreal,0.17,0.15,0.09,0.23,0.31,0.21,0.18
altnewsheadline,0.45,0.62,0.43,0.75,0.76,0.59,0.45
anc_advt,0.755,0.863333333,0.79,0.840246053,0.793147134,0.81,0.778
arynkw,0.53,0.49,0.56,0.63,0.62,0.51,0.22
belly112,0.26,0.33,0.4,0.28,0.24,0.46,0.08
bg55harpoon,0.51,0.41,0.36,0.63,0.72,0.57,0.42
bgaloot42,0.43,0.49,0.5,0.39,0.57,0.57,0.42
bhopalibhopali,0.12,0.29,0.1,0.34,0.23,0.25,0.24
bibi4Trump,0.42,0.44,0.31,0.49,0.36,0.18,0.37
blankmw,0.48,0.33,0.46,0.56,0.58,0.32,0.35
bobby990r_1,0.2,0.18,0.23,0.28,0.23,0.24,0.01
bright310,0.31,0.31,0.34,0.23,0.46,0.46,0.28
bucknasty6,0.38,0.39,0.28,0.41,0.34,0.4,0.24
bulldoghill,0.59,0.49,0.32,0.55,0.5,0.3,0.2
calRINOhunter,0.58,0.49,0.33,0.39,0.41,0.48,0.55
callmeteeplz,0.35,0.28,0.27,0.54,0.33,0.18,0.23
carlawinston5,0.42,0.3,0.16,0.48,0.38,0.19,0.21
carol_clovely4,0.41,0.49,0.62,0.55,0.36,0.46,0.31
ccpicciano,0.35,0.52,0.38,0.51,0.41,0.42,0.17
cgnetwork,0.6,0.7,0.53,0.67,0.78,0.54,0.33
char1199,0.34,0.5,0.64,0.45,0.39,0.62,0.49
chemchix99cents,0.25,0.41,0.37,0.21,0.5,0.33,0.11
chiefwalkalot,0.23,0.35,0.2,0.29,0.39,0.36,0.3
chrizzy100,0.41,0.4,0.45,0.58,0.52,0.41,0.27
clinesb,0.13,0.17,0.04,0.18,0.25,0.3,0.08
cook_robert_l,0.41,0.56,0.45,0.49,0.46,0.42,0.29
dallas_413,0.26,0.39,0.2,0.48,0.28,0.14,0.28
dave31_sam,0.7,0.72,0.47,0.85,0.61,0.52,0.6
davidRomans,0.3,0.3,0.39,0.42,0.24,0.36,0.25
dbarrientos67,0.28,0.26,0.2,0.3,0.11,0.27,0.23
deb6090,0.34,0.36,0.42,0.58,0.53,0.45,0.25
deekaykelly,0.26,0.46,0.44,0.35,0.18,0.19,0.28
dkdk459,0.44,0.43,0.33,0.32,0.35,0.15,0.56
dlkay_l,0.34,0.42,0.32,0.57,0.3,0.21,0.24
drdrjojo,0.24,0.26,0.16,0.28,0.27,0.32,0.18
elviker62,0.14,0.32,0.4,0.24,0.26,0.4,0.01
extremeclass,0.29,0.47,0.23,0.39,0.33,0.35,0.1
fatcat519,0.27,0.42,0.43,0.42,0.25,0.34,0.21
femalediogenes,0.46,0.4,0.38,0.45,0.47,0.22,0.34
ffb1234,0.22,0.18,0.15,0.26,0.17,0.19,0.06
flatfeetaxsvc,0.28,0.62,0.25,0.21,0.21,0.41,0.2
floydtire_sonny,0.31,0.33,0.29,0.44,0.33,0.45,0.22
fmlady2u,0.19,0.35,0.17,0.13,0.29,0.3,0.06
framu1,0.34,0.28,0.18,0.47,0.48,0.3,0.17
frankyandrocky,0.21,0.31,0.49,0.35,0.23,0.22,0.13
gene70,0.28,0.17,0.4,0.26,0.32,0.37,0.68
ginasmith888,0.46,0.43,0.23,0.51,0.35,0.51,0.63
glehewt1964,0.36,0.43,0.23,0.18,0.27,0.29,0.21
gloriajdunlap,0.44,0.52,0.33,0.36,0.45,0.43,0.25
grampa194235,0.42,0.43,0.12,0.27,0.49,0.41,0.11
greene2648,0.32,0.48,0.33,0.23,0.2,0.56,0.18
hallman_j,0.19,0.35,0.25,0.32,0.14,0.3,0.09
harry_kindred,0.31,0.21,0.07,0.58,0.32,0.23,0.27
herrick_a,0.39,0.56,0.35,0.4,0.27,0.34,0.64
jamesbott007,0.39,0.44,0.19,0.48,0.4,0.32,0.38
jboogie_pdx,0.42,0.48,0.3,0.5,0.6,0.32,0.21
jdltek,0.46,0.58,0.73,0.22,0.63,0.48,0.52
jemerri,0.41,0.37,0.39,0.55,0.45,0.47,0.28
jenniemacbrown,0.24,0.25,0.1,0.44,0.32,0.26,0.15
jenniferdcm23,0.16,0.24,0.43,0.29,0.25,0.18,0.1
jennroveto,0.27,0.31,0.31,0.37,0.42,0.38,0.13
jerseygirlnb,0.22,0.16,0.1,0.4,0.23,0.2,0.16
jfk117,0.2,0.4,0.31,0.4,0.28,0.35,0.18
jjmikemike,0.15,0.24,0.15,0.34,0.27,0.22,0.15
jmatheson160,0.46,0.46,0.45,0.55,0.69,0.46,0.26
jomo32284,0.25,0.3,0.06,0.19,0.24,0.25,0.13
judesnyder1,0.14,0.23,0.18,0.19,0.23,0.29,0.05
jus1_kimberely,0.17,0.27,0.26,0.15,0.21,0.15,0.13
killinaneE,0.28,0.24,0.07,0.36,0.28,0.2,0.06
killrbkilld,0.21,0.43,0.23,0.31,0.29,0.23,0.04
kim_waite22,0.51,0.58,0.8,0.3,0.65,0.42,0.68
kimeranch,0.32,0.48,0.23,0.35,0.47,0.33,0.18
kimmie99,0.33,0.39,0.32,0.13,0.27,0.305,0.49
kmbsk80,0.36,0.4,0.26,0.41,0.41,0.32,0.19
ksbedard,0.42,0.44,0.59,0.57,0.4,0.49,0.24
kthedefused,0.43,0.5,0.59,0.39,0.33,0.61,0.2
lapierre_george,0.78,0.55,0.32,0.55,0.75,0.74,0.42
lasfca,0.38,0.56,0.45,0.45,0.62,0.59,0.25
laurafut_laura,0.2,0.37,0.33,0.21,0.24,0.39,0.16
leonhardtmindy,0.37,0.28,0.08,0.45,0.38,0.22,0.41
lifetormentsme2,0.26,0.37,0.21,0.4,0.45,0.24,0.08
llsawtell,0.49,0.44,0.33,0.52,0.56,0.49,0.23
lomeza,0.505,0.54,0.51,0.1,0.39,0.49,0.57
lor65,0.58,0.47,0.32,0.52,0.44,0.56,0.3
louisa_faux,0.4,0.4,0.32,0.31,0.42,0.34,0.19
lovetogivemoney,0.5,0.63,0.56,0.47,0.61,0.55,0.39
lovusa4,0.31,0.45,0.28,0.34,0.29,0.34,0.4
macamaw61,0.27,0.38,0.21,0.54,0.29,0.31,0.07
markq,0.31,0.4,0.27,0.31,0.29,0.42,0.24
mcmenacrew,0.42,0.53,0.33,0.24,0.51,0.3,0.02
mel1962,0.16,0.16,0.16,0.1,0.19,0.33,0.07
mikehillsgirl,0.27,0.48,0.27,0.24,0.27,0.27,0.27
missLtoe,0.4,0.47,0.14,0.32,0.33,0.14,0.46
mleyden28,0.31,0.51,0.47,0.5,0.36,0.46,0.36
monkwatch,0.23,0.29,0.36,0.5,0.29,0.26,0.19
moore_patricia,0.33,0.33,0.47,0.48,0.63,0.44,0.29
mprice0017,0.46,0.51,0.44,0.46,0.5,0.26,0.26
mshaw53,0.38,0.37,0.35,0.44,0.4,0.37,0.15
mu14007792,0.32,0.4,0.43,0.43,0.33,0.45,0.3
mytq1354,0.23,0.34,0.34,0.4,0.31,0.41,0.23
news_anc,0.92,0.93,0.713333333,0.840246053,0.793147134,0.91,0.9
niteowl66,0.25,0.41,0.32,0.41,0.27,0.38,0.16
ohbeaulaland,0.59,0.58,0.36,0.4,0.56,0.22,0.4
oment__raj,0.66,0.47,0.18,0.45,0.66,0.48,0.64
penneyewart,0.41,0.41,0.5,0.57,0.55,0.59,0.49
pennylee1953,0.24,0.38,0.21,0.38,0.23,0.41,0.07
pieman7700,0.31,0.34,0.42,0.4,0.34,0.38,0.28
pilipenko_veron,0.54,0.71,0.44,0.63,0.7,0.42,0.16
princeofpast,0.38,0.43,0.24,0.35,0.38,0.33,0.3
princess2684720,0.23,0.35,0.18,0.31,0.1,0.17,0.18
ptl008,0.22,0.26,0.05,0.39,0.1,0.2,0.08
rabaize,0.45,0.28,0.2,0.28,0.65,0.41,0.04
randyn9559,0.33,0.27,0.31,0.32,0.16,0.18,0.23
raygibbs1,0.38,0.49,0.1,0.25,0.38,0.26,0.25
rb87700,0.33,0.38,0.22,0.64,0.31,0.28,0.1
realstevensteve,0.72,0.71,0.64,0.747119048,0.92,0.7,0.736666667
riniriniz581,0.46,0.48,0.69,0.53,0.54,0.57,0.45
rneverdahl1,0.3,0.32,0.32,0.33,0.37,0.22,0.3
robert_trump1,0.33,0.32,0.51,0.19,0.33,0.28,0.26
robison_gail,0.45,0.45,0.38,0.51,0.47,0.48,0.53
rock_golem,0.27,0.34,0.26,0.23,0.14,0.39,0.21
rripror,0.47,0.45,0.58,0.47,0.5,0.59,0.33
ruda19_dorota,0.34,0.4,0.4,0.32,0.37,0.23,0.13
rush_simpson,0.27,0.34,0.68,0.24,0.3,0.38,0.42
schmut6,0.3,0.42,0.16,0.43,0.39,0.37,0.32
scoutinfinity,0.28,0.33,0.21,0.39,0.14,0.48,0.29
sevenbowls,0.21,0.37,0.29,0.43,0.34,0.35,0.24
shanandcrew,0.39,0.44,0.21,0.32,0.29,0.316666667,0.03
sherrilee7,0.32,0.36,0.21,0.39,0.3,0.28,0.42
sjwendorf,0.48,0.56,0.42,0.28,0.51,0.46,0.34
skpike45,0.41,0.45,0.43,0.48,0.56,0.49,0.38
srb1110,0.43,0.33,0.29,0.42,0.55,0.5,0.39
srogers0612,0.18,0.46,0.63,0.43,0.35,0.27,0.12
standupnow007,0.2,0.31,0.27,0.22,0.24,0.35,0.33
stellaaaa,0.25,0.19,0.14,0.29,0.21,0.27,0.04
talasman111,0.21,0.19,0.14,0.18,0.32,0.32,0.05
tara_johansson,0.47,0.48,0.24,0.45,0.18,0.33,0.36
tellthetruth50,0.36,0.19,0.13,0.33,0.63,0.32,0.16
terrydvl,0.43,0.5,0.49,0.45,0.35,0.42,0.24
thumppooh,0.37,0.5,0.32,0.53,0.22,0.38,0.28
tjo4283,0.29,0.27,0.09,0.14,0.21,0.26,0.37
tlhenson823,0.38,0.43,0.38,0.33,0.48,0.34,0.28
tommy_2q,0.52,0.51,0.43,0.67,0.55,0.43,0.52
tovangar2,0.34,0.41,0.3,0.43,0.27,0.33,0.2
tracithoms,0.16,0.14,0.25,0.22,0.22,0.29,0.09
truth4trump2016,0.55,0.56,0.08,0.21,0.56,0.29,0.61
tyvickie22,0.43,0.56,0.42,0.55,0.7,0.42,0.32
u_edilberto,0.55,0.65,0.56,0.34,0.53,0.48,0.37
uliw315,0.36,0.36,0.15,0.41,0.33,0.28,0.3
unconcious0,0.44,0.54,0.22,0.3,0.31,0.24,0.23
usa_dmc,0.31,0.3,0.18,0.58,0.3,0.22,0.17
vince_bugge,0.23,0.36,0.25,0.27,0.33,0.44,0.23
vonzt3,0.2,0.27,0.31,0.15,0.21,0.22,0.12
warmerdaze,0.38,0.35,0.39,0.35,0.52,0.49,0.24
watchmennews,0.41,0.41,0.39,0.31,0.21,0.15,0.49
wglady,0.24,0.26,0.2,0.44,0.24,0.21,0.04
willyval22,0.34,0.53,0.44,0.15,0.43,0.4,0.09
wingknut9,0.19,0.32,0.22,0.42,0.24,0.35,0.06
winterthur,0.52,0.41,0.26,0.41,0.5,0.37,0.41
wonderfullone,0.58,0.4,0.11,0.4,0.68,0.24,0.49
wpromotion,0.61,0.74,0.47,0.815,0.79,0.71,0.45
xkoolaidrinker,0.38,0.52,0.47,0.64,0.4,0.41,0.23
yerzinia1,0.23,0.4,0.22,0.24,0.32,0.33,0.25
01CavsFan,0.24,0.38,0.26,0.16,0.43,0.21,0.07
13BuzzC69,0.45,0.49,0.17,0.45,0.47,0.26,0.44
1911G_fan,0.2,0.34,0.19,0.37,0.16,0.16,0.27
1eskyman,0.22,0.24,0.49,0.11,0.35,0.17,0.12
1sfleming302,0.53,0.57,0.36,0.46,0.49,0.54,0.47
23YearNavyVet,0.19,0.24,0.26,0.35,0.31,0.23,0.11
385817e00f464bb,0.44,0.48,0.25,0.26,0.48,0.52,0.28
6eustacia,0.24,0.44,0.3,0.19,0.29,0.34,0.29
71_Charger,0.44,0.48,0.33,0.57,0.38,0.18,0.29
97fbd6ccc66c432,0.26,0.33,0.4,0.43,0.27,0.31,0.56
ActionTime,0.66,0.43,0.23,0.64,0.59,0.24,0.68
Alasscan_,0.3,0.24,0.27,0.36,0.24,0.29,0.42
AllRepublicans,0.5,0.4,0.27,0.53,0.31,0.32,0.43
AltRight_Army,0.24,0.19,0.16,0.14,0.31,0.1,0.21
Arlene90957198,0.27,0.49,0.34,0.23,0.25,0.29,0.17
ArmyMom0812,0.27,0.32,0.04,0.31,0.25,0.23,0.08
AtmaSinghKang,0.39,0.32,0.39,0.41,0.43,0.53,0.24
AurisPerez3,0.45,0.46,0.28,0.38,0.25,0.31,0.21
BIZPACReview,0.65,0.64,0.29,0.57,0.46,0.5,0.78
BelindaBee13,0.24,0.35,0.34,0.19,0.38,0.21,0.2
BennieWiley,0.62,0.49,0.31,0.6,0.66,0.29,0.27
BlackManTrump,0.43,0.81,0.62,0.8,0.64,0.86,0.41
BlueMaze,0.29,0.38,0.19,0.43,0.37,0.34,0.29
Bobg123Bob,0.28,0.5,0.25,0.49,0.45,0.57,0.18
CamaroKiddos,0.41,0.49,0.66,0.37,0.48,0.55,0.45
CaptainMethyl,0.57,0.52,0.48,0.49,0.61,0.44,0.32
CaptivatingNews,0.65,0.68,0.41,0.54,0.39,0.38,0.8
